"Name","overallMeanByCpGacross50data"
"cg00000292",0.669272816
"cg00002426",0.482276607
"cg00003994",0.077068758
"cg00005847",0.294052561
"cg00006414",0.0672842
"cg00007981",0.051144475
"cg00008493",0.949716639
"cg00008713",0.041190737
"cg00009407",0.03708427
"cg00010193",0.609790159
"cg00011459",0.85028981
"cg00012199",0.031917922
"cg00012386",0.038542757
"cg00012792",0.046420443
"cg00013618",0.833091887
"cg00014085",0.043171455
"cg00014837",0.816968551
"cg00015770",0.134624593
"cg00016968",0.652336552
"cg00019495",0.244765264
"cg00020533",0.869936174
"cg00021527",0.034540492
"cg00022606",0.054758927
"cg00022866",0.578278052
"cg00024396",0.067190249
"cg00024812",0.044301649
"cg00025138",0.02780876
"cg00025991",0.550014968
"cg00027083",0.10505958
"cg00027674",0.153445778
"cg00029826",0.11660862
"cg00029931",0.187095655
"cg00030047",0.36499749
"cg00031162",0.505286046
"cg00032227",0.02430192
"cg00032666",0.681752123
"cg00033516",0.053552838
"cg00033773",0.838786291
"cg00034039",0.07798818
"cg00035347",0.450596945
"cg00035623",0.088001211
"cg00037763",0.867785826
"cg00037940",0.869848258
"cg00040861",0.036713872
"cg00040873",0.156706667
"cg00041575",0.458311606
"cg00042156",0.71148374
"cg00043004",0.121262555
"cg00043080",0.872037443
"cg00044245",0.077826143
"cg00044729",0.739591652
"cg00047050",0.083915437
"cg00047469",0.049036084
"cg00049986",0.181001266
"cg00050312",0.034717004
"cg00051623",0.826451084
"cg00051979",0.078182999
"cg00053292",0.058385483
"cg00053647",0.063308526
"cg00054706",0.039246979
"cg00055233",0.323530428
"cg00056767",0.05411637
"cg00057593",0.663523403
"cg00058938",0.341505511
"cg00059225",0.290960529
"cg00059424",0.041650451
"cg00059740",0.031100248
"cg00059930",0.709271997
"cg00060762",0.045707226
"cg00060882",0.2149866
"cg00061059",0.08727725
"cg00061629",0.275925556
"cg00062776",0.94423185
"cg00063144",0.842378505
"cg00065385",0.899617709
"cg00065408",0.046545685
"cg00066153",0.868352465
"cg00066816",0.259428713
"cg00067471",0.150433465
"cg00069261",0.067818246
"cg00071250",0.682032016
"cg00071998",0.052716279
"cg00072216",0.029617673
"cg00073650",0.66046096
"cg00075967",0.65540983
"cg00076645",0.047597311
"cg00077457",0.790110038
"cg00077877",0.64345974
"cg00078194",0.036081119
"cg00078867",0.589968869
"cg00079056",0.837299649
"cg00079563",0.028091756
"cg00080012",0.026225489
"cg00081935",0.070005483
"cg00081975",0.051878168
"cg00083720",0.026518329
"cg00083937",0.522623389
"cg00084687",0.029203065
"cg00089071",0.029226463
"cg00090147",0.128310023
"cg00091693",0.66466408
"cg00093177",0.846444003
"cg00094319",0.737926487
"cg00094851",0.072468542
"cg00095526",0.706345779
"cg00095674",0.075394541
"cg00096922",0.074304805
"cg00097536",0.044965645
"cg00098162",0.790234021
"cg00098239",0.026536813
"cg00099550",0.034843988
"cg00101227",0.813522221
"cg00103783",0.025810904
"cg00105253",0.090108462
"cg00105470",0.042877989
"cg00107187",0.146288338
"cg00107488",0.265206676
"cg00107632",0.040662157
"cg00108454",0.47375521
"cg00109274",0.048812573
"cg00112517",0.108122474
"cg00113020",0.809216092
"cg00113951",0.123891627
"cg00115714",0.089106863
"cg00116234",0.082382319
"cg00116838",0.100514578
"cg00117172",0.090400661
"cg00119079",0.059950422
"cg00121158",0.034065346
"cg00121640",0.067756792
"cg00121904",0.147581393
"cg00123035",0.067357757
"cg00126034",0.053689115
"cg00126657",0.620865305
"cg00126698",0.710554607
"cg00128197",0.153706546
"cg00128560",0.85875592
"cg00128654",0.042165158
"cg00128766",0.104007096
"cg00128877",0.096707054
"cg00129774",0.050565389
"cg00131121",0.048281517
"cg00131557",0.865692877
"cg00132141",0.612543074
"cg00133909",0.057264606
"cg00134539",0.669641893
"cg00134787",0.768240982
"cg00135056",0.121112422
"cg00135393",0.433708346
"cg00136105",0.040188014
"cg00136405",0.556440736
"cg00136477",0.724098678
"cg00136736",0.052100264
"cg00138126",0.64670254
"cg00141162",0.367245541
"cg00141550",0.758866475
"cg00141845",0.298732044
"cg00143376",0.454101574
"cg00143998",0.065171834
"cg00145118",0.34098413
"cg00145348",0.246543296
"cg00146096",0.032848539
"cg00149659",0.042705101
"cg00149976",0.04392708
"cg00151234",0.227995591
"cg00151607",0.025813124
"cg00152644",0.829161805
"cg00155167",0.057437348
"cg00155485",0.052441626
"cg00155609",0.053101512
"cg00156216",0.036887851
"cg00156744",0.03876204
"cg00158308",0.099401313
"cg00160914",0.175274525
"cg00162401",0.038218975
"cg00162643",0.048507978
"cg00164041",0.070500388
"cg00164898",0.052917759
"cg00165981",0.077883481
"cg00167504",0.039797875
"cg00168082",0.059057476
"cg00168785",0.094146662
"cg00168942",0.645996778
"cg00169548",0.374576727
"cg00171126",0.04989797
"cg00171161",0.069112854
"cg00174500",0.612632895
"cg00174901",0.214422019
"cg00176210",0.505620257
"cg00176879",0.956747363
"cg00177013",0.06809438
"cg00177698",0.051457026
"cg00177923",0.036949423
"cg00178790",0.058298569
"cg00179446",0.207021355
"cg00180012",0.046922254
"cg00180631",0.382987232
"cg00182461",0.085864434
"cg00183782",0.738253648
"cg00183916",0.0412999
"cg00184884",0.022930679
"cg00184893",0.041551364
"cg00185103",0.763776719
"cg00185839",0.043802237
"cg00186141",0.039298946
"cg00186701",0.34485626
"cg00186954",0.661348816
"cg00187380",0.131628353
"cg00187686",0.539870996
"cg00188348",0.67257029
"cg00191052",0.437798388
"cg00194146",0.12856944
"cg00195561",0.836196311
"cg00197381",0.046542328
"cg00197641",0.06181607
"cg00199549",0.922136334
"cg00200063",0.036997262
"cg00201234",0.173752997
"cg00202702",0.038643623
"cg00202711",0.177317938
"cg00204262",0.747830296
"cg00206052",0.054432945
"cg00207534",0.040147553
"cg00208830",0.722308812
"cg00208967",0.206571995
"cg00209066",0.873075797
"cg00209951",0.077517526
"cg00210842",0.050710437
"cg00211661",0.069958381
"cg00212549",0.098433868
"cg00213044",0.811037109
"cg00213331",0.866473086
"cg00213714",0.06725627
"cg00214346",0.037942254
"cg00214794",0.552189428
"cg00214855",0.151628289
"cg00215066",0.931526351
"cg00216361",0.059311401
"cg00216758",0.063623585
"cg00217795",0.517499249
"cg00221494",0.14686366
"cg00223186",0.042958922
"cg00223950",0.058065647
"cg00224234",0.030104212
"cg00224508",0.04570591
"cg00226904",0.750489888
"cg00226923",0.789242872
"cg00228799",0.04782341
"cg00229387",0.309781084
"cg00230271",0.059491193
"cg00230368",0.047851485
"cg00230502",0.161778972
"cg00230685",0.246237703
"cg00231140",0.052819946
"cg00231644",0.203507628
"cg00231920",0.047716426
"cg00233307",0.137680311
"cg00234616",0.146083873
"cg00234961",0.058040526
"cg00236832",0.099514278
"cg00237010",0.68994004
"cg00238052",0.220640051
"cg00239071",0.938343482
"cg00239419",0.823578539
"cg00239685",0.080536143
"cg00240312",0.052778936
"cg00240432",0.047095724
"cg00240880",0.653760583
"cg00241355",0.043804561
"cg00242839",0.463287883
"cg00243313",0.043177363
"cg00245878",0.757061257
"cg00247489",0.036847126
"cg00250430",0.194644661
"cg00253200",0.042851852
"cg00256074",0.820756676
"cg00256166",0.04464422
"cg00256281",0.034816339
"cg00259755",0.108689404
"cg00260778",0.589341785
"cg00261552",0.05816677
"cg00261781",0.035998378
